candidate_name,instagram_handle,twitter_handle,tiktok_handle,source_notes
Luiz Inácio Lula da Silva,lula,LulaOficial,lula_oficial,Proposta Ouvidor + verificado
Jair Messias Bolsonaro,jairbolsonaro,jairbolsonaro,jairbolsonaro_oficial,Wikipedia + verificado
Ciro Ferreira Gomes,cirogomes,cirogomesoficial,cirogomes_oficial,Perfil Político + verificado
Simone Nassar Tebet,simonetebet,simonetebet,simonetebet,Proposta Ouvidor + verificado
Felipe d'Avila,felipemoraisavila,felipemorais,felipemorais_,Busca Google + verificado
Marina Silva,marinasilvabr,marinasilvabr,marinasilvabr,Proposta Ouvidor + verificado
Tarcísio de Freitas,tarcisiogdf,tarcisiogdf,,Website oficial
João Campos,joaocamposjc,joaocampospe,,Perfil Político
Marconi Perillo,marconipe,marconipe,,Wikipedia
Ronaldo Caiado,ronaldocaiado,ronaldocaiado,,Proposta Ouvidor
